CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ADAMS,01,ABBOTTSTOWN,01-1,ABBOTTSTOWN BOROUGH OFFICE,241,,HIGH,ST,,ABBOTTSTOWN,PA,17301,,,,YES
ADAMS,02,ARENDTSVILLE,02-1,ARENDTSVILLE FIRE COMPANY BLDG,48,,PEARL,ST,,ARENDTSVILLE,PA,17303,,,6776200,YES
ADAMS,03,BENDERSVILLE,03-1,BENDERSVILLE COMMUNITY BLDG,144,,PARK,ST,,BENDERSVILLE,PA,17306,,,6778000,YES
ADAMS,04,BERWICK,04-1,BERWICK TWP MUNIC BLDG,85,,MUNICIPAL,RD,,HANOVER,PA,17331,,,6321829,YES
ADAMS,05,BIGLERVILLE,05-1,TRINITY UNITED CHURCH FELLOWSHIP HALL,300,E,YORK,ST,,BIGLERVILLE,PA,17307,,,7176777765,YES
ADAMS,06,BONNEAUVILLE,06-1,BONNEAUVILLE MUNIC BLDG,46,E,HANOVER,ST,,GETTYSBURG,PA,17325,,,3342662,YES
ADAMS,06,BONNEAUVILLE,06-2,BONNEAUVILLE MUNIC BLDG,46,E,HANOVER,ST,,GETTYSBURG,PA,17325,,,3342662,YES
ADAMS,07,BUTLER,07-1,OAKSIDE COMMUNITY PARK,2880,,TABLE ROCK,RD,,BIGLERVILLE,PA,17307,,,6777820,YES
ADAMS,08,CARROLL VALLEY #1,08-1,CARROLL VALLEY BOROUGH OFFICE,5685,,FAIRFIELD,RD,,FAIRFIELD,PA,17320,,,,YES
ADAMS,09,CONEWAGO #1,09-1,SAVES STATION,5865,,HANOVER,RD,,HANOVER,PA,17331,,,7176379621,YES
ADAMS,10,CONEWAGO #2,10-1,SAVES STATION,5865,,HANOVER,RD,,HANOVER,PA,17331,,,6379621,YES
ADAMS,11,CUMBERLAND #1,11-1,GETTYSBURG SCHOOL ADMINISTRATION BLDG,900,,BIGLERVILLE,RD,,GETTYSBURG,PA,17325,,,3346254,YES
ADAMS,12,CUMBERLAND #2,12-1,BARLOW FIRE HALL,2005,,TANEYTOWN,RD,,GETTYSBURG,PA,17325,,,3341717,YES
ADAMS,13,CUMBERLAND #3,13-1,CUMBERLAND TWP MUNIC BLDG,1370,,FAIRFIELD,RD,,GETTYSBURG,PA,17325,,,3346485,YES
ADAMS,14,CUMBERLAND #4,14-1,CUMBERLAND TWP MUNIC BLDG,1370,,FAIRFIELD,RD,,GETTYSBURG,PA,17325,,,3346485,YES
ADAMS,15,EAST BERLIN,15-1,COMMUNITY CENTER,405,,NORTH,AVE,,EAST BERLIN,PA,17316,,,2598848,YES
ADAMS,16,FAIRFIELD,16-1,VILLAGE HALL,108,W,MAIN,ST,,FAIRFIELD,PA,17320,,,6426557,YES
ADAMS,17,FRANKLIN #1,17-1,CASHTOWN FIRE DEPT COMM BLDG,1111,,OLD ROUTE 30,,,CASHTOWN,PA,17310,,,3343838,YES
ADAMS,18,FRANKLIN #2,18-1,CASHTOWN FIRE DEPT COMM BLDG,1111,,OLD ROUTE 30,,,CASHTOWN,PA,17310,,,3343838,YES
ADAMS,19,FREEDOM,19-1,FREEDOM TWP MUNIC BLDG,2184,,PUMPING STATION,RD,,FAIRFIELD,PA,17320,,,3372926,YES
ADAMS,20,GERMANY,20-1,EAGLES PARK BUILDING,427,,MENGUS MILL,RD,,LITTLESTOWN,PA,17340,,,7173594430,YES
ADAMS,21,GETTYSBURG #1,21-1,GETTYSBURG FIRE DEPARTMENT,35,N,STRATTON,ST,,GETTYSBURG,PA,17325,,,3347548,YES
ADAMS,22,CARROLL VALLEY #2,22-1,CARROLL VALLEY BOROUGH OFFICE,5685,,FAIRFIELD,RD,,FAIRFIELD,PA,17320,,,,YES
ADAMS,23,GETTYSBURG #2,23-1,GETTYSBURG FIRE DEPARTMENT,35,,N STRATTON,ST,,GETTYSBURG,PA,17325,,,,YES
ADAMS,24,GETTYSBURG #3,24-1,GETTYSBURG AREA RECREATION BLDG,545,,LONG,LN,,GETTYSBURG,PA,17325,,,,YES
ADAMS,26,HAMILTON,26-1,HAMILTON TWP MUNIC BLDG,272,,MUMMERTS CHURCH,RD,,ABBOTTSTOWN,PA,17301,,,2597237,YES
ADAMS,26,HAMILTON,26-2,HAMILTON TWP MUNIC BLDG,272,,MUMMERTS CHURCH,RD,,ABBOTTSTOWN,PA,17301,,,2597237,YES
ADAMS,27,HAMILTONBAN,27-1,HAMILTONBAN TWP BLDG,23,,CARROLLS TRACT,RD,,FAIRFIELD,PA,17320,,,6428531,YES
ADAMS,28,HIGHLAND,28-1,HIGHLAND TWP MUNIC BLDG,3641,,FAIRFIELD,RD,,GETTYSBURG,PA,17325,,,6428410,YES
ADAMS,29,HUNTINGTON,29-1,HUNTINGTON TWP MUNIC BLDG,750,,TROLLEY,RD,,YORK SPRINGS,PA,17372,,,5284027,YES
ADAMS,31,LATIMORE,31-1,LATIMORE TWP MUNIC BLDG,559,,OLD ROUTE 15,,,YORK SPRINGS,PA,17372,,,5284614,YES
ADAMS,32,LIBERTY,32-1,LIBERTY TWP MUNIC BLDG,39,,TOPPER,RD,,FAIRFIELD,PA,17320,,,6426103,YES
ADAMS,33,LITTLESTOWN #1,33-1,Y.M.C.A.,95,,KEYSTONE,ST,,LITTLESTOWN,PA,17340,,,3599733,YES
ADAMS,34,LITTLESTOWN #2,34-1,LITTLESTOWN AREA SENIOR CENTER,10,E,LOCUST,ST,,LITTLESTOWN,PA,17340,,,,YES
ADAMS,35,MCSHERRYSTOWN #1,35-1,MCSHERRYSTOWN SENIOR CENTER,201,,THIRD,ST,,MCSHERRYSTOWN,PA,17344,,,,YES
ADAMS,36,MCSHERRYSTOWN #2,36-1,MCSHERRYSTOWN SENIOR CENTER,201,,THIRD,ST,,MCSHERRYSTOWN,PA,17344,,,,YES
ADAMS,37,MENALLEN,37-1,MENALLEN TOWNSHIP BUILDING,170,,MEMORY,LN,,ASPERS,PA,17304,,,7176776635,YES
ADAMS,38,MT JOY #1,38-1,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,38,MT JOY #1,38-2,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,39,MT JOY #2,39-1,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,39,MT JOY #2,39-2,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,40,MT PLEASANT #1,40-1,MT PLEASANT TWP MUNIC BLDG,1035,,BECK,RD,,GETTYSBURG,PA,17325,,,6248049,YES
ADAMS,40,MT PLEASANT #1,40-2,MT PLEASANT TWP MUNIC BLDG,1035,,BECK,RD,,GETTYSBURG,PA,17325,,,6248049,YES
ADAMS,41,MT PLEASANT #2,41-1,MT PLEASANT TWP MAINTENANCE BLDG,1016,,BECK,RD,,GETTYSBURG,PA,17325,,,,YES
ADAMS,42,NEW OXFORD,42-1,NEW OXFORD FIRE HALL,21,N,BOLTON,ST,,NEW OXFORD,PA,17350,,,6247456,YES
ADAMS,43,OXFORD #1,43-1,IRISHTOWN FIRE COMPANY,934,,IRISHTOWN,RD,,NEW OXFORD,PA,17350,,,6244544,YES
ADAMS,44,OXFORD #2,44-1,IRISHTOWN FIRE COMPANY,934,,IRISHTOWN,RD,,NEW OXFORD,PA,17350,,,6244141,YES
ADAMS,45,READING #1,45-1,HAMPTON FIRE HALL,5371,,CARLISLE,PIKE,,NEW OXFORD,PA,17350,,,6242323,YES
ADAMS,46,READING #2,46-1,HAMPTON FIRE HALL,5371,,CARLISLE,PIKE,,NEW OXFORD,PA,17350,,,6242323,YES
