_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8185,-80.0547197819999,40.4566752420001,1,0,42,Sheraden Park Entrance Building,B318,Thornton St,Pittsburgh,15205,City of Pittsburgh,100
8186,-79.9969669989999,40.4417962420001,2,0,29,Mellon Square Park Building,B355,Sixth Ave,Pittsburgh,15219,City of Pittsburgh,100
8187,-79.889999855,40.4670948720001,3,0,3,Chadwick Maintenance Building,B263,Oberlin & Mingo St,Pittsburgh,15206,City of Pittsburgh,100
8188,-80.004928375,40.4191084220001,4,0,27,Mckinley Southern Division Service Garage,B201,Gearing Ave,Pittsburgh,15210,City of Pittsburgh,100
8189,-79.968665888,40.5234905250001,5,0,59,Shaler Township Building,,300 Wetzel Rd,Glenshaw,15116,,944
8190,-80.0235943289999,40.4407261590001,6,0,16,Grandview Radio Tower Building,B280,Grandview Ave,Pittsburgh,15211,City of Pittsburgh,100
8191,-79.872222178,40.349326331,7,0,101,Port Vue Borough Building,,1191 Romine Ave,Port Vue,15133,,848
8192,-80.003089683,40.427336601,8,0,15,Grandview Overlook Building,B207,Bailey Ave,Pittsburgh,15211,City of Pittsburgh,100
8193,-79.867998529,40.4106519520001,9,0,102,Rankin Borough Building,,320 Hawkins Ave,Rankin,15104,,849
8194,-79.941316904,40.4344240880001,10,0,37,Schenley Nature Museum,B066,Panther Hollow Rd,Pittsburgh,15217,City of Pittsburgh,100
8195,-79.7519712169999,40.600967327,11,0,108,Tarentum Borough Building,,318 Second Ave,Tarentum,15084,,855
8196,-80.085265728,40.3858097620001,12,0,58,Scott Township Building,,2600 Old Greentree Rd,Carnegie,15106,,941
8197,-79.9751750949999,40.373515909,13,0,33,Brentwood Borough Building,,3624 Brownsville Rd,Pittsburgh,15227,,810
8198,-80.066424126,40.445338072,14,0,88,Ingram Borough Building,,40 W Prospect Ave,Pittsburgh,15205,,835
8199,-79.925032078,40.4946656020001,15,0,105,Sharpsburg Borough Building,,1611 Main St,Pittsburgh,15215,,852
8200,-80.087873797,40.392604605,16,0,86,Heidelberg Borough Building,,1631 Railroad St,Heidelberg,15106,,833
8201,-80.087793316,40.4337075930001,17,0,109,Thornburg Borough Building,,235 Tech Rd,Pittsburgh,15205,,856
8202,-79.856622892,40.325336844,18,0,90,Liberty Borough Building,,2921 Liberty Way,McKeesport,15133,,837
8203,-79.82482221,40.4049836070001,19,0,111,Turtle Creek Borough Building,,125 Monroeville Ave,Turtle Creek,15145,,858
8204,-79.79727704,40.5387123520001,20,0,68,Cheswick Borough Building,,220 South Atlantic Ave,Cheswick,15024,,815
8205,-80.123379126,40.48178633,21,0,40,Kennedy Township Building,,340 Forest Grove Rd,Coraopolis,15108,,919
8206,-80.07926742,40.5825308990001,22,0,12,Franklin Park Borough Building,,2344 West Ingomar Rd,Pittsburgh,15237,,884
8207,-79.903632638,40.4014908520001,23,0,118,Whitaker Borough Building,,1705 Maple St,Homestead,15120,,865
8208,-79.859997689,40.4944189770001,24,0,29,Blawnox Borough Building,,376 Freeport Rd,Pittsburgh,15238,,806
8209,-80.101695536,40.5209222510001,25,0,41,Kilbuck Township Building,,343 Eicher Rd,Pittsburgh,15237,,920
8210,-80.056205533,40.465906148,26,0,95,McKees Rocks Borough Building,,340 Bell Ave,McKees Rocks,15136,,842
8211,-79.805136831,40.5524633910001,27,0,63,Springdale Township Building,,1331 Pillow Ave,Harwick,15049,,948
8212,-79.9864962619999,40.416529068,28,0,92,Mount Oliver Borough Building,,150 Brownsville Rd,Pittsburgh,15210,,839
8213,-80.045246635,40.3785095280001,29,0,45,Mount Lebanon Township Building,,710 Washington Rd,Pittsburgh,15228,,926
8214,-79.904281445,40.399241929,30,0,93,Munhall Borough Building,,1900 West St,Munhall,15120,,840
8215,-79.8831866629999,40.5047437910001,31,0,121,Fox Chapel Borough Building,,401 Fox Chapel Rd,Pittsburgh,15238,,868
8216,-79.928600078,40.3501967710001,32,0,123,West Mifflin Borough Building,,3000 Lebanon Church Rd,West Mifflin,15122,,870
8217,-79.867930332,40.403628068,33,0,31,Braddock Borough Building,,415 Sixth St,Braddock,15104,,808
8218,-80.101413048,40.4286687590001,34,0,124,Pennsbury Village Borough Building,,1043 Pennsbury Blvd,Pittsburgh,15205,,871
8219,-79.867790898,40.4240112300001,35,0,125,Braddock Hills Borough Building,,1300 Brinton Rd,Pittsburgh,15221,,872
8220,-80.003994999,40.2883082980001,36,0,60,South Park Township Building,,2675 Brownsville Rd,Library,15129,,945
8221,-80.0877143279999,40.639750081,37,0,32,Bradford Woods Borough Building,,4908 Wexford Run Rd,Bradford Woods,15015,,809
8222,-80.0725198059999,40.4845337400001,38,0,64,Stowe Township Building,,1301 Island Ave,McKees Rocks,15136,,949
8223,-79.760066147,40.426067002,39,0,17,Crescent Township Building,,255 Spring Run Rd,Crescent,15046,,906
8224,-79.8464167829999,40.373087485,40,0,128,Duquesne City Building,,12 S Second St,Duquesne,15110,,300
8225,-79.758988066,40.6560769480001,41,0,20,Fawn Township Building,,3054 Howes Run Rd,Tarentum,15084,,909
8226,-79.866441353,40.351472641,42,0,129,McKeesport City Building,,201 Lysle Blvd,McKeesport,15132,,400
8227,-79.853281768,40.445943475,43,0,69,Churchill Borough Building,,2300 William Penn Hwy,Pittsburgh,15235,,816
8228,-79.91609966,40.2018371550001,44,0,22,Forward Township Building,,500 Liggett Ave,Monongahela,15063,,911
8229,-80.111329337,40.360032608,45,0,34,Bridgeville Borough,,425 Bower Hill Rd,Bridgeville,15017,,811
8230,-79.782861305,40.4341104330001,46,0,7,Monroeville Township Building,,2700 Monroeville Blvd,Monroeville,15146,,879
8231,-79.790141669,40.5738225640001,47,0,23,Frazer Township Building,,2129 Butler-Logan Rd,Tarentum,15084,,913
8232,-80.0078268679999,40.3673538560001,48,0,66,Castle Shannon Borough Building,,3310 McRoberts Rd,Pittsburgh,15234,,813
8233,-79.808658655,40.5406882180001,49,0,37,Harmar Township Building,,701 Freeport Rd,Cheswick,15024,,915
8234,-79.838031716,40.4081404570001,50,0,67,Chalfant Borough Building,,144 Lynnwood Ave,East Pittsburgh,15112,,814
8235,-80.163845964,40.5173554240001,51,0,70,Coraopolis Borough Building,,1012 Fifth Ave,Coraopolis,15108,,817
8236,-80.024236157,40.619293014,52,0,53,Pine Township,,230 Pearce Mill Rd,Wexford,15090,,935
8237,-80.046502038,40.4182843660001,53,0,84,Green Tree Borough Building,,10 West Manilla Ave,Pittsburgh,15220,,831
8238,-80.089033303,40.4072693620001,54,0,35,Carnegie Borough,,1 Glass St,Carnegie,15106,,812
8239,-80.120199204,40.588714006,55,0,10,Sewickley Hills Borough Building,,1165 Fairhill Rd,Sewickley,15143,,882
8240,-79.946396835,40.6435528970001,56,0,55,Richland Township,,4011 Dickey Rd,Gibsonia,15044,,938
8241,-80.0660016429999,40.435035187,57,0,71,Crafton Borough Building,,100 Stotz Ave,Pittsburgh,15205,,818
8242,-79.95036286,40.3300210040001,58,0,1,Pleasant Hills Borough,,410 E Bruceton Rd,Pittsburgh,15236,,873
8243,-80.037417659,40.394417607,59,0,72,Dormont Borough Building,,1444 Hillsdale Ave,Pittsburgh,15216,,819
8244,-79.890803491,40.347778906,60,0,73,Dravosburg Borough Building,,226 Maple Ave,Dravosburg,15034,,820
8245,-80.072789911,40.335326493,61,0,65,Upper St. Clair Township,,1820 McLaughlin Run Rd,Upper St Clair,15241,,950
8246,-79.88370406,40.434051923,62,0,76,Edgewood Borough Building,,2 Race St,Pittsburgh,15218,,823
8247,-80.191650276,40.5520490100001,63,0,77,Edgeworth Borough Building,,301 Beaver Rd,Sewickley,15143,,824
8248,-79.7552261599999,40.498744598,64,0,8,Plum Borough,,4575 New Texas Rd,Pittsburgh,15239,,880
8249,-80.09668372,40.5132798980001,65,0,79,Emsworth Borough Building,,171 Center Ave,Pittsburgh,15202,,826
8250,-80.1479573349999,40.530441727,66,0,126,Aleppo Township,,100 North Dr,Sewickley,15143,,901
8251,-79.850337953,40.420336697,67,0,81,Forest Hills Borough Building,,2071 Ardmore Blvd,Pittsburgh,15221,,828
8252,-79.896624461,40.436617632,68,0,248,Frick Park,,Braddock & Biddle,Pittsburgh,15221,Pittsburgh Parks,100
8253,-79.739071294,40.6049861160001,69,0,30,Brackenridge Borough Building,,1000 Brackenridge Ave,Brackenridge,15014,,807
8254,-79.9131911,40.4292602410001,70,0,606,Frick Park Parks Buiding,,Frick Park,Pittsburgh,15221,Pittsburgh Public Works,100
8255,-80.1583908429999,40.527097199,71,0,83,Glenfield Borough Building,,105 River Rd,Sewickley,15143,,830
8256,-80.018551128,40.4833515990001,72,0,605,Riverview Park Parks Building,,Riverview Park,Pittsburgh,15214,Pittsburgh Public Works,100
8257,-79.8922456079999,40.327771462,73,0,82,Glassport Borough Building,,Fifth & Monongahela Ave,Glassport,15045,,829
8258,-79.9256514859999,40.4815687220001,74,0,607,Heths Run Storage Facility,,Highland Park,Pittsburgh,15206,Pittsburgh Public Works,100
8259,-79.863173928,40.3512111690001,75,0,19,DHS-MVO,DHS-MVO,332 Fifth Ave,McKeesport,15132,Allegheny County,
