OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,Data_Security,Distribution_Policy,LOADDATE,FType,FCode,NAME,IsLandmark,PointLocationType,AdminType,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID,x,y
1830,{ED2097E1-257E-4730-B1CB-7D11A731DA01},,a6e93a46-4a9e-485e-84ee-bf4cf20c74c6,730 TNMC Update 2/9/2022,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,2/9/2022 2:23:20 PM,730,73007,Rick Aviation Flight School,2,1,0,,902 Bland Boulevard Suite D,Newport News,VA,23602,2465496,,,cb61d670-2c5c-43f0-80ab-34c3f2d76ae3,-76.5002515901717,37.1327538256714
15660,e400d41e-3d1d-4971-a669-b95982d014d5,VA002431,4a90b0bb-5344-454b-ada2-7ed32c2d7707,730 TNMC Update 7/31/2022,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/31/2022 3:19:08 PM,730,73007,Washington County Career and Technical Education Center,2,1,0,,255 Stanley Street,Abingdon,VA,24210,1498354, ,,6e1bbea3-9afc-47ce-a066-ba394159c7f1,-81.9519069997064,36.7229020005036
93803,78d7c1d8-1230-404e-a2d0-063cdf7b084e,AZ001740,f3dde500-1ad9-49dc-930d-55ae50f5eade,730 TNMC Update 3/20/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,3/20/2018 1:11:06 PM,730,73007,East Valley Institute of Technology - Main Campus,0,1,0,,1601 West Main Street,Mesa,AZ,85201,2517586,2,,aa217ccc-078f-4b19-bea4-46b7aafc6e83,-111.864448547526,33.413131714432
183460,c10364dd-280f-4f55-854f-e3b5871748d0,173416,55db8ee5-0035-4c65-951c-044724f36d90,730 TNMC Update 3/21/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,3/21/2018 1:09:42 PM,730,73007,Dakota County Technical College,2,1,0,,1300 145th Street East,Rosemount,MN,55068,2095169, ,,a68642b6-590f-4a0e-9a11-5cc2a42897cb,-93.0779876712009,44.7371940606514
193227,{983B4EEB-0040-46AF-956A-F74642992A0D},AR0610200,{092B06A5-744D-461B-BB91-876E463350D0},TNMC VWE DB Build - Vol Update Schools,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/7/2016 12:00:57 PM,730,73007,Black River Technical College Law Enforcement Training Academy,2,1,3,,1410 State Highway 304 East,Pocahontas,AR,72455,2118587,,,fce72abc-ec97-4fc9-9a70-588a1a303a92,-90.9484360092337,36.2391657502666
196489,{9967DCE3-7277-4E0E-A091-D30E181791BB},,102d28ad-ef42-493d-a2cf-7dfe610ff1d0,730 TNMC Update 11/18/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,11/18/2020 7:29:14 PM,730,73007,Sebring Career Schools,2,1,0,,6672 Highway 6 South,Houston,TX,77083,,,,36b264ef-e639-421d-b39f-b00a657379bd,-95.6448473299841,29.7066594765023
199870,6002775a-1992-42ce-afb7-c71d2dad1917,AZ001542,4476ec9f-1199-4414-89e8-c83167e3bb0b,730 TNMC Update 1/11/2021,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,1/11/2021 7:13:29 PM,730,73007,San Carlos Training Institute,0,1,0,,100 East Skill Center Road,San Carlos,AZ,85550,2545036, ,,2ba62297-2955-49b5-8987-87f9d1b115ba,-110.586639766278,33.3714578057822
223362,0922b0e7-4ef0-48a5-8487-ceae028c5e97,106041,{092B06A5-744D-461B-BB91-876E463350D0},TNMC VWE DB Build - Vol Update Schools,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/29/2015 11:54:10 AM,730,73007,Universal Technical Institute Avondale,2,1,0,,10695 West Pierce Street,Avondale,AZ,85323,2517524,,,09b45b43-444a-431b-996a-03d693946f7c,-112.288291667967,33.4528658027001
292583,e49b7657-ae94-463d-af9a-c58a2394e85a,220174001658,48b36b43-a059-49d9-9f35-f03e34d32de3,730 TNMC Update 9/20/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/20/2018 5:13:52 PM,730,73007,Louis Miller Terrebonne Career and Technical High School,2,1,0,,3051 Patriot Drive,Houma,LA,70363,551967,,,1ba413f5-3ac1-4021-857f-b8d93df76624,-90.6780769998595,29.5629810001
318767,{3C6D0F74-C071-4495-9908-1F2FE21837D2},,0e1c981d-7003-4cb7-910f-95f62fee1f12,730 TNMC Update 8/27/2022,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/27/2022 11:01:50 PM,730,73007,Chesapeake Marine Training Institute,2,1,0,,3566 George Washington Memorial Highway,Hayes,VA,23072,2465291,,,1775cedb-369d-4432-a9ac-6fe9d8fc9faa,-76.5133759997085,37.3051990003426
