,county_pre,index,county_name,precinct_name,precinct_id
1,ADAMS - ABBOTTSTOWN,1,ADAMS,ABBOTTSTOWN,'01
2,ADAMS - ARENDTSVILLE,2,ADAMS,ARENDTSVILLE,'02
3,ADAMS - BENDERSVILLE,3,ADAMS,BENDERSVILLE,'03
4,ADAMS - BERWICK,4,ADAMS,BERWICK,'04
5,ADAMS - BIGLERVILLE,5,ADAMS,BIGLERVILLE,'05
6,ADAMS - BONNEAUVILLE,6,ADAMS,BONNEAUVILLE,'06
7,ADAMS - BUTLER,7,ADAMS,BUTLER,'07
8,ADAMS - CARROLL VALLEY #1,8,ADAMS,CARROLL VALLEY #1,'08
9,ADAMS - CARROLL VALLEY #2,9,ADAMS,CARROLL VALLEY #2,'22
10,ADAMS - CONEWAGO #1,10,ADAMS,CONEWAGO #1,'09
11,ADAMS - CONEWAGO #2,11,ADAMS,CONEWAGO #2,'10
12,ADAMS - CUMBERLAND #1,12,ADAMS,CUMBERLAND #1,'11
13,ADAMS - CUMBERLAND #2,13,ADAMS,CUMBERLAND #2,'12
14,ADAMS - CUMBERLAND #3,14,ADAMS,CUMBERLAND #3,'13
15,ADAMS - CUMBERLAND #4,15,ADAMS,CUMBERLAND #4,'14
16,ADAMS - EAST BERLIN,16,ADAMS,EAST BERLIN,'15
17,ADAMS - FAIRFIELD,17,ADAMS,FAIRFIELD,'16
18,ADAMS - FRANKLIN #1,18,ADAMS,FRANKLIN #1,'17
19,ADAMS - FRANKLIN #2,19,ADAMS,FRANKLIN #2,'18
20,ADAMS - FREEDOM,20,ADAMS,FREEDOM,'19
21,ADAMS - GERMANY,21,ADAMS,GERMANY,'20
22,ADAMS - GETTYSBURG #1,22,ADAMS,GETTYSBURG #1,'21
23,ADAMS - GETTYSBURG #2,23,ADAMS,GETTYSBURG #2,'23
24,ADAMS - GETTYSBURG #3,24,ADAMS,GETTYSBURG #3,'24
25,ADAMS - HAMILTON,25,ADAMS,HAMILTON,'26
26,ADAMS - HAMILTONBAN,26,ADAMS,HAMILTONBAN,'27
27,ADAMS - HIGHLAND,27,ADAMS,HIGHLAND,'28
28,ADAMS - HUNTINGTON,28,ADAMS,HUNTINGTON,'29
29,ADAMS - LATIMORE,29,ADAMS,LATIMORE,'31
30,ADAMS - LIBERTY,30,ADAMS,LIBERTY,'32
31,ADAMS - LITTLESTOWN #1,31,ADAMS,LITTLESTOWN #1,'33
32,ADAMS - LITTLESTOWN #2,32,ADAMS,LITTLESTOWN #2,'34
33,ADAMS - MCSHERRYSTOWN #1,33,ADAMS,MCSHERRYSTOWN #1,'35
34,ADAMS - MCSHERRYSTOWN #2,34,ADAMS,MCSHERRYSTOWN #2,'36
35,ADAMS - MENALLEN,35,ADAMS,MENALLEN,'37
36,ADAMS - MT JOY #1,36,ADAMS,MT JOY #1,'38
37,ADAMS - MT JOY #2,37,ADAMS,MT JOY #2,'39
38,ADAMS - MT PLEASANT #1,38,ADAMS,MT PLEASANT #1,'40
39,ADAMS - MT PLEASANT #2,39,ADAMS,MT PLEASANT #2,'41
40,ADAMS - NEW OXFORD,40,ADAMS,NEW OXFORD,'42
41,ADAMS - OXFORD #1,41,ADAMS,OXFORD #1,'43
42,ADAMS - OXFORD #2,42,ADAMS,OXFORD #2,'44
43,ADAMS - READING #1,43,ADAMS,READING #1,'45
44,ADAMS - READING #2,44,ADAMS,READING #2,'46
45,ADAMS - READING #3,,,,
