"","X.1","X","election_date","state","county_name","jurisdiction","jurisdiction_type","precinct_id","precinct_name","polling_place_id","location_type","name","address","notes","source","source_date","source_notes","location_category","location_count","hold"
"1",1,1,"2020-11-03","PA","ADAMS","ADAMS","county","01-1","ABBOTTSTOWN",NA,"election_day","ABBOTTSTOWN BOROUGH OFFICE","241 HIGH ST, ABBOTTSTOWN, PA 17301","01","ORR","2020-11-02",NA,"multiple",2,1
"2",2,2,"2020-11-03","PA","ADAMS","ADAMS","county","02-1","ARENDTSVILLE",NA,"election_day","ARENDTSVILLE FIRE COMPANY BLDG","48 PEARL ST, ARENDTSVILLE, PA 17303","02","ORR","2020-11-02",NA,"firestation",NA,1
"3",3,3,"2020-11-03","PA","ADAMS","ADAMS","county","03-1","BENDERSVILLE",NA,"election_day","BENDERSVILLE COMMUNITY BLDG","144 PARK ST, BENDERSVILLE, PA 17306","03","ORR","2020-11-02",NA,"reccenter",NA,1
"4",4,4,"2020-11-03","PA","ADAMS","ADAMS","county","04-1","BERWICK",NA,"election_day","BERWICK TWP MUNIC BLDG","85 MUNICIPAL RD, HANOVER, PA 17331","04","ORR","2020-11-02",NA,"citytownhall",1,1
"5",5,5,"2020-11-03","PA","ADAMS","ADAMS","county","05-1","BIGLERVILLE",NA,"election_day","TRINITY UNITED CHURCH FELLOWSHIP HALL","300 E YORK ST, BIGLERVILLE, PA 17307","05","ORR","2020-11-02",NA,"religious",NA,1
"6",6,6,"2020-11-03","PA","ADAMS","ADAMS","county","06-1","BONNEAUVILLE",NA,"election_day","BONNEAUVILLE MUNIC BLDG","46 E HANOVER ST, GETTYSBURG, PA 17325","06","ORR","2020-11-02",NA,"multiple",2,1
"7",7,7,"2020-11-03","PA","ADAMS","ADAMS","county","06-2","BONNEAUVILLE",NA,"election_day","BONNEAUVILLE MUNIC BLDG","46 E HANOVER ST, GETTYSBURG, PA 17325","06","ORR","2020-11-02",NA,"multiple",2,1
"8",8,8,"2020-11-03","PA","ADAMS","ADAMS","county","07-1","BUTLER",NA,"election_day","OAKSIDE COMMUNITY PARK","2880 TABLE ROCK RD, BIGLERVILLE, PA 17307","07","ORR","2020-11-02",NA,NA,NA,0
"9",9,9,"2020-11-03","PA","ADAMS","ADAMS","county","08-1","CARROLL VALLEY #1",NA,"election_day","CARROLL VALLEY BOROUGH OFFICE","5685 FAIRFIELD RD, FAIRFIELD, PA 17320","08","ORR","2020-11-02",NA,"citytownhall",1,1
"10",10,10,"2020-11-03","PA","ADAMS","ADAMS","county","09-1","CONEWAGO #1",NA,"election_day","SAVES STATION","5865 HANOVER RD, HANOVER, PA 17331","09","ORR","2020-11-02",NA,"firestation",1,0
"11",11,11,"2020-11-03","PA","ADAMS","ADAMS","county","10-1","CONEWAGO #2",NA,"election_day","SAVES STATION","5865 HANOVER RD, HANOVER, PA 17331","10","ORR","2020-11-02",NA,"firestation",1,0
"12",12,12,"2020-11-03","PA","ADAMS","ADAMS","county","11-1","CUMBERLAND #1",NA,"election_day","GETTYSBURG SCHOOL ADMINISTRATION BLDG","900 BIGLERVILLE RD, GETTYSBURG, PA 17325","11","ORR","2020-11-02",NA,"school",NA,1
"13",13,13,"2020-11-03","PA","ADAMS","ADAMS","county","12-1","CUMBERLAND #2",NA,"election_day","BARLOW FIRE HALL","2005 TANEYTOWN RD, GETTYSBURG, PA 17325","12","ORR","2020-11-02",NA,"firestation",1,1
"14",14,14,"2020-11-03","PA","ADAMS","ADAMS","county","13-1","CUMBERLAND #3",NA,"election_day","CUMBERLAND TWP MUNIC BLDG","1370 FAIRFIELD RD, GETTYSBURG, PA 17325","13","ORR","2020-11-02",NA,"multiple",2,1
"15",15,15,"2020-11-03","PA","ADAMS","ADAMS","county","14-1","CUMBERLAND #4",NA,"election_day","CUMBERLAND TWP MUNIC BLDG","1370 FAIRFIELD RD, GETTYSBURG, PA 17325","14","ORR","2020-11-02",NA,"multiple",2,1
"16",16,16,"2020-11-03","PA","ADAMS","ADAMS","county","15-1","EAST BERLIN",NA,"election_day","COMMUNITY CENTER","405 N AVE, E BERLIN, PA 17316","15","ORR","2020-11-02",NA,"reccenter",NA,1
"17",17,17,"2020-11-03","PA","ADAMS","ADAMS","county","16-1","FAIRFIELD",NA,"election_day","VILLAGE HALL","108 W MAIN ST, FAIRFIELD, PA 17320","16","ORR","2020-11-02",NA,"citytownhall",1,0
"18",18,18,"2020-11-03","PA","ADAMS","ADAMS","county","17-1","FRANKLIN #1",NA,"election_day","JESUS IS LORD MINISTRIES","3425 CHAMBERSBURG RD, BIGLERVILLE, PA 17307","17","ORR","2020-11-02",NA,"school",1,1
"19",19,19,"2020-11-03","PA","ADAMS","ADAMS","county","18-1","FRANKLIN #2",NA,"election_day","JESUS IS LORD MINISTRIES","3425 CHAMBERSBURG RD, BIGLERVILLE, PA 17307","18","ORR","2020-11-02",NA,"school",1,1
