OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,Data_Security,Distribution_Policy,LOADDATE,FType,FCode,NAME,IsLandmark,PointLocationType,AdminType,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID,x,y
2578,c3f5f0ab-0df8-4925-a6a8-71ae96ade7ce,,98f492c6-cb7b-4df5-ba04-7ce684a0e392,740 TNMC Update 3/30/2017,U.S. Geological Survey,5,E4,3/30/2017 3:17:46 PM,740,74036,Jefferson Correctional Institution,2,1,3,,1050 Big Joe Road,Monticello,FL,32344-0430,2450819,,,23866aa1-3611-4665-933f-78d01b1d3f6e,-83.8008117671741,30.5097732541808
3437,{9B27B915-F97B-426A-A9C0-D60B969306F4},10177592,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,4/24/2015 11:04:58 AM,740,74036,Southern State Correctional Facility - Springfield,2,1,3,,700 Charlestown Road,Springfield,VT,05156,2121204,,,e1bb6e39-7cd9-4210-a6d4-d384cdfd0b73,-72.4382680009153,43.2690578992688
15342,adfeb5dd-9112-4cfe-b379-88ff9e8f873d,,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,9/29/2015 1:15:59 PM,740,74036,New Hanover Correctional Center,2,1,3,,330 Division Drive,Wilmington,NC,28401,2505313,,,e02abb20-d246-4a4d-ae66-0055ade4b61d,-77.9230267264938,34.2665768259204
15662,3357ed71-6433-4da8-9337-bd34665cffd3,10173849,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,3/20/2015 9:36:27 AM,740,74036,El Dorado Correctional Facility Southwest Mens Medium Oswego,2,1,5,,2501 West 7th Street,Oswego,KS,67356,2504374,,,d277daf7-5e80-405f-8c08-2f70c6fada83,-95.1335434790255,37.1662903377911
16968,b820af61-f89b-467f-9f8f-1a38c3645072,,9c58e8b2-9587-4139-a0d9-a0dcb561860a,740 TNMC Update 12/19/2017,U.S. Geological Survey,5,E4,12/19/2017 3:38:01 PM,740,74036,Shawnee Juvenile Detention Center,2,1,5,,401 Southeast 8th Avenue,Topeka,KS,66607,2509765,,,4e544fdb-8bcb-407c-9b94-f03f74e97b35,-95.6688613893042,39.04648971625
18510,614ee7c6-03eb-44c4-a686-93cf1ab7e85f,,7faafb3f-edb2-4b78-af09-bb2ecb8317e7,740 TNMC Update 11/18/2022,U.S. Geological Survey,5,E4,11/18/2022 12:20:27 AM,740,74036,Martin Correctional Institution,2,1,3,,1150 Southwest Allapattah Road,Indiantown,FL,34956,2449388,,,c05b4e06-f815-4efa-a8a0-a65503af0bb0,-80.4846800002779,27.19696799998
22851,22d4c3b4-355c-4daf-86ec-62f674c82eea,MO000332,6db1a19e-00a6-4a4c-999e-6d6a11c29288,740 TNMC Update 1/31/2019,U.S. Geological Survey,5,E4,1/31/2019 8:13:18 PM,740,74036,Vernon County Jail,0,1,0,,2040 East Hunter Street,Nevada,MO,64772,2752111, ,,69570cec-1512-4cda-856e-e87f84bfc3d3,-94.3319169997091,37.8394620000819
26045,b168094c-7c59-46fc-a7ee-2909f9f08252,10424824,7ef7b048-d36a-4536-a0c2-057bb903413e,{FTYPE} TNMC Update 10/10/2021,U.S. Geological Survey,5,E4,10/10/2021 7:19:25 PM,740,74036,Anderson County Jail,2,1,5,,823 West 7th Avenue,Garnett,KS,66032,2504300,,,32456571-e056-4d66-91cc-431c664399d0,-95.2566510002877,38.2783130000827
42110,db8307ab-f7d5-4cbe-ae5d-6e7db89ce07e,,fcfceb75-36b9-4192-93ee-ec5c451fb4ed,740 TNMC Update 4/17/2017,U.S. Geological Survey,5,E4,4/17/2017 4:54:26 PM,740,74036,Florida State Prison - West Unit,2,1,3,,23916 Northwest 83rd Avenue,Raiford,FL,32083,2452100,,,194dc1f0-24d6-4fd3-8191-43b781420a05,-82.1863784793835,30.0569858550644
43108,fd285afb-3d81-49ff-9980-39a62869505f,CA000244,b3d83d58-9e0d-4c56-8d74-1d7b6d727f81,740 TNMC Update 3/23/2022,U.S. Geological Survey,5,E4,3/23/2022 11:00:37 PM,740,74036,San Luis Obispo County Jail,0,1,5,,1585 Kansas Avenue,San Luis Obispo,CA,93405,2756387, ,,9c6677d9-bd76-4e00-b04a-c0e2b07a9d89,-120.727043000132,35.3206860003237
52959,{3FDF2B26-4897-4679-B7B5-DA6E00C6692D},10177515,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2/3/2015 1:36:51 PM,740,74036,Anamosa State Penitentiary,2,1,3,,406 North High Street,Anamosa,IA,52205,2333476,,,dbb900f8-63ca-410e-90d1-5686505f3a12,-91.2897794699769,42.1115052143114
55163,47cdfd5a-cf72-4afb-8638-4be864934802,,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,9/29/2015 1:15:59 PM,740,74036,Pasquotank Correctional Institution,2,1,3,,527 Commerce Drive,Elizabeth City,NC,27906,2505316,,,2e3e23f8-432d-4abb-b8f2-b03d098eb329,-76.3107254145229,36.3606420289285
63324,782889ae-8800-483e-8ab8-3aeae7c1b0c6,10425236,9dd161f8-321b-4647-b2ca-703f85817256,740 TNMC Update 9/12/2019,U.S. Geological Survey,5,E4,9/12/2019 12:43:29 PM,740,74036,Ellsworth Correctional Facility,2,1,3,,1607 State Street,Ellsworth,KS,67439,2504308,,,dbbdf6af-5cd3-4ffa-ad5f-9fee7ab468ba,-98.2335501906392,38.7411310908869
65692,445eac72-7b54-48fb-8011-40b5ee47ec57,,f13761db-b89e-4d26-bcb3-e93cc14dbee4,740 TNMC Update 12/28/2022,U.S. Geological Survey,5,E4,12/28/2022 2:23:35 AM,740,74036,Desoto Annex Correctional Institution,2,1,3,,13617 Southeast State Highway 70,Arcadia,FL,34266,2447570,,,35f51968-9830-465f-a72a-18c7fbad04ea,-81.6654002659903,27.2048982573647
68470,90f17d9d-b51f-403a-87f1-5118a27fdc12,,4ce6e4c4-372a-4119-a6fa-79abb2a0869a,740 TNMC Update 3/31/2017,U.S. Geological Survey,5,E4,3/31/2017 3:44:07 PM,740,74036,Baker Correctional Institution,2,1,3,,20706 US Highway 90 West,Sanderson,FL,32087-2359,2452255,,,d6ae278e-5567-4e63-866a-3292232f3f8f,-82.3746719356201,30.213239669673
76357,792c6cc7-baee-4709-9be1-495c13900e5b,,fcfceb75-36b9-4192-93ee-ec5c451fb4ed,740 TNMC Update 4/17/2017,U.S. Geological Survey,5,E4,4/17/2017 3:52:30 PM,740,74036,Homestead Correctional Institution,2,1,3,,19000 Southwest 377th Street,Florida City,FL,33034-6409,2448322,,,33328fd7-073f-42d9-b3c2-b453aa87ecc1,-80.5004730222382,25.4132957457949
77365,af113e38-2b01-4f81-8631-1d7557b54a4d,,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,8/11/2016 10:28:29 PM,740,74036,Tyrell Prison Work Farm,2,1,2,,600 Snell Road,Columbia,NC,27925,2505318,,,f33d9765-d1ab-4011-a3b0-4b9ddd2d317a,-76.2278878820378,35.9573191994488
77453,eeeef81c-03fd-4bdf-b20b-5648354c7484,,fcfceb75-36b9-4192-93ee-ec5c451fb4ed,740 TNMC Update 4/17/2017,U.S. Geological Survey,5,E4,4/17/2017 4:55:58 PM,740,74036,Union Correctional Institution,2,1,3,,25636 Northeast State Route16,Raiford,FL,32083,2452101,,,066dfccd-8095-437d-9fb3-bfbb3acca82e,-82.1928939818712,30.0669670110665
91134,01ec94f2-657f-444b-b3a2-6197c5698394,,4df73519-1b0b-44d1-b1b9-97d1f4cbc835,740 TNMC Update 7/29/2019,U.S. Geological Survey,5,E4,7/29/2019 8:02:51 PM,740,74036,Sedgwick County Department of Corrections,2,1,5,,700 South Hydraulic Street,Wichita,KS,67211,2510130,,,f54c2450-0d61-4b89-b13f-406f1fb0aa56,-97.3161040007043,37.6757970000271
