"","election_date","state","county_name","jurisdiction","jurisdiction_type","precinct_id","precinct_name","polling_place_id","location_type","name","address","notes","source","source_date","source_notes","location_category"
"1","2020-11-03","PA","ADAMS","ADAMS","county","01-1","ABBOTTSTOWN",NA,"election_day","ABBOTTSTOWN BOROUGH OFFICE","241 HIGH ST, ABBOTTSTOWN, PA 17301","01","ORR","2020-11-02",NA,"GOV BLDG"
"2","2020-11-03","PA","ADAMS","ADAMS","county","02-1","ARENDTSVILLE",NA,"election_day","ARENDTSVILLE FIRE COMPANY BLDG","48 PEARL ST, ARENDTSVILLE, PA 17303","02","ORR","2020-11-02",NA,"FIRE DEPT"
"3","2020-11-03","PA","ADAMS","ADAMS","county","03-1","BENDERSVILLE",NA,"election_day","BENDERSVILLE COMMUNITY BLDG","144 PARK ST, BENDERSVILLE, PA 17306","03","ORR","2020-11-02",NA,"PUB CENTER"
"4","2020-11-03","PA","ADAMS","ADAMS","county","04-1","BERWICK",NA,"election_day","BERWICK TWP MUNIC BLDG","85 MUNICIPAL RD, HANOVER, PA 17331","04","ORR","2020-11-02",NA,"GOV BLDG"
"5","2020-11-03","PA","ADAMS","ADAMS","county","05-1","BIGLERVILLE",NA,"election_day","TRINITY UNITED CHURCH FELLOWSHIP HALL","300 E YORK ST, BIGLERVILLE, PA 17307","05","ORR","2020-11-02",NA,"RELIGIOUS"
"6","2020-11-03","PA","ADAMS","ADAMS","county","06-1","BONNEAUVILLE",NA,"election_day","BONNEAUVILLE MUNIC BLDG","46 E HANOVER ST, GETTYSBURG, PA 17325","06","ORR","2020-11-02",NA,"GOV BLDG"
"7","2020-11-03","PA","ADAMS","ADAMS","county","06-2","BONNEAUVILLE",NA,"election_day","BONNEAUVILLE MUNIC BLDG","46 E HANOVER ST, GETTYSBURG, PA 17325","06","ORR","2020-11-02",NA,"GOV BLDG"
"8","2020-11-03","PA","ADAMS","ADAMS","county","07-1","BUTLER",NA,"election_day","OAKSIDE COMMUNITY PARK","2880 TABLE ROCK RD, BIGLERVILLE, PA 17307","07","ORR","2020-11-02",NA,"OTHER"
"9","2020-11-03","PA","ADAMS","ADAMS","county","08-1","CARROLL VALLEY #1",NA,"election_day","CARROLL VALLEY BOROUGH OFFICE","5685 FAIRFIELD RD, FAIRFIELD, PA 17320","08","ORR","2020-11-02",NA,"GOV BLDG"
"10","2020-11-03","PA","ADAMS","ADAMS","county","09-1","CONEWAGO #1",NA,"election_day","SAVES STATION","5865 HANOVER RD, HANOVER, PA 17331","09","ORR","2020-11-02",NA,"OTHER"
"11","2020-11-03","PA","ADAMS","ADAMS","county","10-1","CONEWAGO #2",NA,"election_day","SAVES STATION","5865 HANOVER RD, HANOVER, PA 17331","10","ORR","2020-11-02",NA,"OTHER"
"12","2020-11-03","PA","ADAMS","ADAMS","county","11-1","CUMBERLAND #1",NA,"election_day","GETTYSBURG SCHOOL ADMINISTRATION BLDG","900 BIGLERVILLE RD, GETTYSBURG, PA 17325","11","ORR","2020-11-02",NA,"SCHOOL"
"13","2020-11-03","PA","ADAMS","ADAMS","county","12-1","CUMBERLAND #2",NA,"election_day","BARLOW FIRE HALL","2005 TANEYTOWN RD, GETTYSBURG, PA 17325","12","ORR","2020-11-02",NA,"FIRE DEPT"
"14","2020-11-03","PA","ADAMS","ADAMS","county","13-1","CUMBERLAND #3",NA,"election_day","CUMBERLAND TWP MUNIC BLDG","1370 FAIRFIELD RD, GETTYSBURG, PA 17325","13","ORR","2020-11-02",NA,"GOV BLDG"
"15","2020-11-03","PA","ADAMS","ADAMS","county","14-1","CUMBERLAND #4",NA,"election_day","CUMBERLAND TWP MUNIC BLDG","1370 FAIRFIELD RD, GETTYSBURG, PA 17325","14","ORR","2020-11-02",NA,"GOV BLDG"
"16","2020-11-03","PA","ADAMS","ADAMS","county","15-1","EAST BERLIN",NA,"election_day","COMMUNITY CENTER","405 NORTH AVE, EAST BERLIN, PA 17316","15","ORR","2020-11-02",NA,"PUB CENTER"
"17","2020-11-03","PA","ADAMS","ADAMS","county","16-1","FAIRFIELD",NA,"election_day","VILLAGE HALL","108 W MAIN ST, FAIRFIELD, PA 17320","16","ORR","2020-11-02",NA,"OTHER"
"18","2020-11-03","PA","ADAMS","ADAMS","county","17-1","FRANKLIN #1",NA,"election_day","JESUS IS LORD MINISTRIES","3425 CHAMBERSBURG RD, BIGLERVILLE, PA 17307","17","ORR","2020-11-02",NA,"RELIGIOUS"
"19","2020-11-03","PA","ADAMS","ADAMS","county","18-1","FRANKLIN #2",NA,"election_day","JESUS IS LORD MINISTRIES","3425 CHAMBERSBURG RD, BIGLERVILLE, PA 17307","18","ORR","2020-11-02",NA,"RELIGIOUS"
"20","2020-11-03","PA","ADAMS","ADAMS","county","19-1","FREEDOM",NA,"election_day","FREEDOM TWP MUNIC BLDG","2184 PUMPING STATION RD, FAIRFIELD, PA 17320","19","ORR","2020-11-02",NA,"GOV BLDG"
"21","2020-11-03","PA","ADAMS","ADAMS","county","20-1","GERMANY",NA,"election_day","EAGLES PARK BUILDING","427 MENGUS MILL RD, LITTLESTOWN, PA 17340","20","ORR","2020-11-02",NA,"OTHER"
"22","2020-11-03","PA","ADAMS","ADAMS","county","21-1","GETTYSBURG #1",NA,"election_day","GETTYSBURG FIRE DEPARTMENT","35 N STRATTON ST, GETTYSBURG, PA 17325","21","ORR","2020-11-02",NA,"FIRE DEPT"
"23","2020-11-03","PA","ADAMS","ADAMS","county","22-1","CARROLL VALLEY #2",NA,"election_day","CARROLL VALLEY BOROUGH OFFICE","5685 FAIRFIELD RD, FAIRFIELD, PA 17320","22","ORR","2020-11-02",NA,"GOV BLDG"
"24","2020-11-03","PA","ADAMS","ADAMS","county","23-1","GETTYSBURG #2",NA,"election_day","GETTYSBURG FIRE DEPARTMENT","35 N STRATTON ST, GETTYSBURG, PA 17325","23","ORR","2020-11-02",NA,"FIRE DEPT"
"25","2020-11-03","PA","ADAMS","ADAMS","county","24-1","GETTYSBURG #3",NA,"election_day","GETTYSBURG AREA RECREATION BLDG","545 LONG LN, GETTYSBURG, PA 17325","24","ORR","2020-11-02",NA,"OTHER"
"26","2020-11-03","PA","ADAMS","ADAMS","county","26-1","HAMILTON",NA,"election_day","HAMILTON TWP MUNIC BLDG","272 MUMMERTS CHURCH RD, ABBOTTSTOWN, PA 17301","26","ORR","2020-11-02",NA,"GOV BLDG"
"27","2020-11-03","PA","ADAMS","ADAMS","county","26-2","HAMILTON",NA,"election_day","HAMILTON TWP MUNIC BLDG","272 MUMMERTS CHURCH RD, ABBOTTSTOWN, PA 17301","26","ORR","2020-11-02",NA,"GOV BLDG"
